,2023-04-08,2023-04-09,2023-04-10,2023-04-11,2023-04-12,2023-04-13,2023-04-14,2023-04-15,2023-04-16,2023-04-17,2023-04-18,2023-04-19,2023-04-20,2023-04-21,2023-04-22,2023-04-23,2023-04-24,2023-04-25,2023-04-26,2023-04-27,2023-04-28,2023-04-29,2023-04-30,2023-05-01,2023-05-02,2023-05-03,2023-05-04,2023-05-05,2023-05-06,2023-05-07,2023-05-08
C/1995 O1 (Hale-Bopp),"[ 5.96486336e+08 -2.99628505e+09 -6.34911415e+09  6.60192059e-01
 -3.14804264e+00 -4.72873742e+00]","[ 5.96543376e+08 -2.99655704e+09 -6.34952271e+09  6.60172507e-01
 -3.14794443e+00 -4.72852931e+00]","[ 5.96600414e+08 -2.99682902e+09 -6.34993124e+09  6.60152958e-01
 -3.14784622e+00 -4.72832123e+00]","[ 5.96657450e+08 -2.99710099e+09 -6.35033976e+09  6.60133410e-01
 -3.14774803e+00 -4.72811318e+00]","[ 5.96714485e+08 -2.99737295e+09 -6.35074826e+09  6.60113865e-01
 -3.14764985e+00 -4.72790515e+00]","[ 5.96771518e+08 -2.99764490e+09 -6.35115674e+09  6.60094321e-01
 -3.14755169e+00 -4.72769716e+00]","[ 5.96828549e+08 -2.99791684e+09 -6.35156521e+09  6.60074780e-01
 -3.14745353e+00 -4.72748920e+00]","[ 5.96885579e+08 -2.99818878e+09 -6.35197365e+09  6.60055242e-01
 -3.14735538e+00 -4.72728127e+00]","[ 5.96942607e+08 -2.99846071e+09 -6.35238208e+09  6.60035705e-01
 -3.14725725e+00 -4.72707336e+00]","[ 5.96999633e+08 -2.99873263e+09 -6.35279049e+09  6.60016171e-01
 -3.14715913e+00 -4.72686549e+00]","[ 5.97056658e+08 -2.99900454e+09 -6.35319888e+09  6.59996638e-01
 -3.14706102e+00 -4.72665765e+00]","[ 5.97113680e+08 -2.99927644e+09 -6.35360726e+09  6.59977108e-01
 -3.14696292e+00 -4.72644983e+00]","[ 5.97170702e+08 -2.99954833e+09 -6.35401562e+09  6.59957580e-01
 -3.14686483e+00 -4.72624205e+00]","[ 5.97227721e+08 -2.99982022e+09 -6.35442395e+09  6.59938055e-01
 -3.14676676e+00 -4.72603430e+00]","[ 5.97284739e+08 -3.00009209e+09 -6.35483227e+09  6.59918531e-01
 -3.14666869e+00 -4.72582657e+00]","[ 5.97341755e+08 -3.00036396e+09 -6.35524058e+09  6.59899010e-01
 -3.14657064e+00 -4.72561888e+00]","[ 5.97398769e+08 -3.00063582e+09 -6.35564886e+09  6.59879491e-01
 -3.14647260e+00 -4.72541122e+00]","[ 5.97455782e+08 -3.00090767e+09 -6.35605713e+09  6.59859974e-01
 -3.14637457e+00 -4.72520358e+00]","[ 5.97512793e+08 -3.00117951e+09 -6.35646538e+09  6.59840459e-01
 -3.14627655e+00 -4.72499598e+00]","[ 5.97569803e+08 -3.00145135e+09 -6.35687361e+09  6.59820947e-01
 -3.14617854e+00 -4.72478840e+00]","[ 5.97626810e+08 -3.00172317e+09 -6.35728182e+09  6.59801437e-01
 -3.14608055e+00 -4.72458086e+00]","[ 5.97683816e+08 -3.00199499e+09 -6.35769001e+09  6.59781928e-01
 -3.14598256e+00 -4.72437334e+00]","[ 5.97740821e+08 -3.00226680e+09 -6.35809819e+09  6.59762422e-01
 -3.14588459e+00 -4.72416586e+00]","[ 5.97797823e+08 -3.00253860e+09 -6.35850635e+09  6.59742919e-01
 -3.14578663e+00 -4.72395840e+00]","[ 5.97854824e+08 -3.00281039e+09 -6.35891449e+09  6.59723417e-01
 -3.14568868e+00 -4.72375097e+00]","[ 5.97911824e+08 -3.00308217e+09 -6.35932261e+09  6.59703918e-01
 -3.14559074e+00 -4.72354358e+00]","[ 5.97968821e+08 -3.00335395e+09 -6.35973072e+09  6.59684421e-01
 -3.14549282e+00 -4.72333621e+00]","[ 5.98025817e+08 -3.00362571e+09 -6.36013881e+09  6.59664926e-01
 -3.14539490e+00 -4.72312887e+00]","[ 5.98082811e+08 -3.00389747e+09 -6.36054688e+09  6.59645433e-01
 -3.14529700e+00 -4.72292157e+00]","[ 5.98139804e+08 -3.00416922e+09 -6.36095493e+09  6.59625942e-01
 -3.14519910e+00 -4.72271429e+00]","[ 5.98196795e+08 -3.00444096e+09 -6.36136296e+09  6.59606454e-01
 -3.14510122e+00 -4.72250704e+00]"
P/1996 R2 (Lagerkvist),"[-6.56130431e+08 -3.27387996e+08  7.77908279e+06  6.02793005e+00
 -9.50576694e+00 -5.06661785e-01]","[-6.55608794e+08 -3.28208883e+08  7.73529746e+06  6.04700487e+00
 -9.49623349e+00 -5.06887389e-01]","[-6.55085509e+08 -3.29028944e+08  7.69149268e+06  6.06607233e+00
 -9.48667226e+00 -5.07111812e-01]","[-6.54560577e+08 -3.29848179e+08  7.64766857e+06  6.08513240e+00
 -9.47708322e+00 -5.07335052e-01]","[-6.54033998e+08 -3.30666584e+08  7.60382522e+06  6.10418508e+00
 -9.46746635e+00 -5.07557108e-01]","[-6.53505774e+08 -3.31484156e+08  7.55996274e+06  6.12323036e+00
 -9.45782164e+00 -5.07777980e-01]","[-6.52975904e+08 -3.32300894e+08  7.51608122e+06  6.14226823e+00
 -9.44814905e+00 -5.07997666e-01]","[-6.52444390e+08 -3.33116796e+08  7.47218077e+06  6.16129866e+00
 -9.43844859e+00 -5.08216165e-01]","[-6.51911232e+08 -3.33931857e+08  7.42826150e+06  6.18032165e+00
 -9.42872021e+00 -5.08433476e-01]","[-6.51376431e+08 -3.34746078e+08  7.38432350e+06  6.19933719e+00
 -9.41896390e+00 -5.08649598e-01]","[-6.50839987e+08 -3.35559454e+08  7.34036689e+06  6.21834526e+00
 -9.40917965e+00 -5.08864530e-01]","[-6.50301901e+08 -3.36371983e+08  7.29639175e+06  6.23734585e+00
 -9.39936742e+00 -5.09078271e-01]","[-6.49762174e+08 -3.37183663e+08  7.25239819e+06  6.25633895e+00
 -9.38952721e+00 -5.09290819e-01]","[-6.49220806e+08 -3.37994492e+08  7.20838633e+06  6.27532454e+00
 -9.37965898e+00 -5.09502174e-01]","[-6.48677798e+08 -3.38804468e+08  7.16435625e+06  6.29430262e+00
 -9.36976272e+00 -5.09712334e-01]","[-6.48133151e+08 -3.39613587e+08  7.12030807e+06  6.31327316e+00
 -9.35983841e+00 -5.09921299e-01]","[-6.47586865e+08 -3.40421847e+08  7.07624189e+06  6.33223615e+00
 -9.34988602e+00 -5.10129067e-01]","[-6.47038940e+08 -3.41229246e+08  7.03215780e+06  6.35119159e+00
 -9.33990553e+00 -5.10335637e-01]","[-6.46489379e+08 -3.42035782e+08  6.98805592e+06  6.37013945e+00
 -9.32989693e+00 -5.10541008e-01]","[-6.45938181e+08 -3.42841452e+08  6.94393635e+06  6.38907973e+00
 -9.31986018e+00 -5.10745178e-01]","[-6.45385346e+08 -3.43646253e+08  6.89979919e+06  6.40801241e+00
 -9.30979528e+00 -5.10948148e-01]","[-6.44830876e+08 -3.44450183e+08  6.85564455e+06  6.42693747e+00
 -9.29970218e+00 -5.11149914e-01]","[-6.44274772e+08 -3.45253241e+08  6.81147252e+06  6.44585491e+00
 -9.28958089e+00 -5.11350477e-01]","[-6.43717033e+08 -3.46055422e+08  6.76728322e+06  6.46476471e+00
 -9.27943136e+00 -5.11549835e-01]","[-6.43157660e+08 -3.46856726e+08  6.72307674e+06  6.48366685e+00
 -9.26925358e+00 -5.11747987e-01]","[-6.42596655e+08 -3.47657148e+08  6.67885320e+06  6.50256132e+00
 -9.25904753e+00 -5.11944932e-01]","[-6.42034018e+08 -3.48456688e+08  6.63461269e+06  6.52144810e+00
 -9.24881318e+00 -5.12140668e-01]","[-6.41469749e+08 -3.49255342e+08  6.59035533e+06  6.54032719e+00
 -9.23855052e+00 -5.12335194e-01]","[-6.40903850e+08 -3.50053109e+08  6.54608121e+06  6.55919857e+00
 -9.22825951e+00 -5.12528509e-01]","[-6.40336320e+08 -3.50849985e+08  6.50179044e+06  6.57806222e+00
 -9.21794014e+00 -5.12720613e-01]","[-6.39767161e+08 -3.51645968e+08  6.45748312e+06  6.59691813e+00
 -9.20759238e+00 -5.12911503e-01]"
P/1997 B1 (Kobayashi),"[-1.96460195e+08 -5.59992398e+08 -1.27085859e+08  9.30945778e+00
 -1.56101537e+01 -1.87100306e+00]","[-1.95655424e+08 -5.61339876e+08 -1.27247232e+08  9.31948886e+00
 -1.55814679e+01 -1.86449674e+00]","[-1.94849790e+08 -5.62684878e+08 -1.27408044e+08  9.32942870e+00
 -1.55528573e+01 -1.85801481e+00]","[-1.94043301e+08 -5.64027412e+08 -1.27568298e+08  9.33927801e+00
 -1.55243217e+01 -1.85155716e+00]","[-1.93235966e+08 -5.65367483e+08 -1.27727994e+08  9.34903751e+00
 -1.54958608e+01 -1.84512367e+00]","[-1.92427790e+08 -5.66705099e+08 -1.27887136e+08  9.35870790e+00
 -1.54674746e+01 -1.83871422e+00]","[-1.91618783e+08 -5.68040265e+08 -1.28045725e+08  9.36828988e+00
 -1.54391627e+01 -1.83232870e+00]","[-1.90808952e+08 -5.69372988e+08 -1.28203763e+08  9.37778413e+00
 -1.54109250e+01 -1.82596699e+00]","[-1.89998305e+08 -5.70703275e+08 -1.28361252e+08  9.38719135e+00
 -1.53827614e+01 -1.81962899e+00]","[-1.89186848e+08 -5.72031132e+08 -1.28518195e+08  9.39651222e+00
 -1.53546716e+01 -1.81331457e+00]","[-1.88374590e+08 -5.73356564e+08 -1.28674594e+08  9.40574740e+00
 -1.53266554e+01 -1.80702363e+00]","[-1.87561537e+08 -5.74679580e+08 -1.28830450e+08  9.41489757e+00
 -1.52987126e+01 -1.80075605e+00]","[-1.86747698e+08 -5.76000184e+08 -1.28985765e+08  9.42396339e+00
 -1.52708431e+01 -1.79451172e+00]","[-1.85933079e+08 -5.77318383e+08 -1.29140542e+08  9.43294551e+00
 -1.52430466e+01 -1.78829054e+00]","[-1.85117687e+08 -5.78634184e+08 -1.29294782e+08  9.44184459e+00
 -1.52153229e+01 -1.78209238e+00]","[-1.84301531e+08 -5.79947593e+08 -1.29448488e+08  9.45066127e+00
 -1.51876719e+01 -1.77591714e+00]","[-1.83484616e+08 -5.81258616e+08 -1.29601662e+08  9.45939619e+00
 -1.51600933e+01 -1.76976471e+00]","[-1.82666949e+08 -5.82567260e+08 -1.29754304e+08  9.46804999e+00
 -1.51325870e+01 -1.76363499e+00]","[-1.81848539e+08 -5.83873529e+08 -1.29906418e+08  9.47662329e+00
 -1.51051527e+01 -1.75752785e+00]","[-1.81029391e+08 -5.85177432e+08 -1.30058006e+08  9.48511673e+00
 -1.50777902e+01 -1.75144320e+00]","[-1.80209513e+08 -5.86478974e+08 -1.30209068e+08  9.49353091e+00
 -1.50504994e+01 -1.74538093e+00]","[-1.79388911e+08 -5.87778160e+08 -1.30359608e+08  9.50186645e+00
 -1.50232801e+01 -1.73934092e+00]","[-1.78567593e+08 -5.89074998e+08 -1.30509627e+08  9.51012396e+00
 -1.49961319e+01 -1.73332308e+00]","[-1.77745564e+08 -5.90369494e+08 -1.30659127e+08  9.51830404e+00
 -1.49690548e+01 -1.72732730e+00]","[-1.76922832e+08 -5.91661653e+08 -1.30808110e+08  9.52640729e+00
 -1.49420486e+01 -1.72135347e+00]","[-1.76099403e+08 -5.92951482e+08 -1.30956578e+08  9.53443430e+00
 -1.49151129e+01 -1.71540148e+00]","[-1.75275284e+08 -5.94238987e+08 -1.31104532e+08  9.54238566e+00
 -1.48882477e+01 -1.70947124e+00]","[-1.74450481e+08 -5.95524173e+08 -1.31251975e+08  9.55026195e+00
 -1.48614528e+01 -1.70356264e+00]","[-1.73625001e+08 -5.96807048e+08 -1.31398908e+08  9.55806374e+00
 -1.48347278e+01 -1.69767557e+00]","[-1.72798850e+08 -5.98087616e+08 -1.31545334e+08  9.56579162e+00
 -1.48080727e+01 -1.69180993e+00]","[-1.71972034e+08 -5.99365885e+08 -1.31691254e+08  9.57344615e+00
 -1.47814872e+01 -1.68596562e+00]"
P/1998 VS24 (LINEAR),"[-5.02251380e+08 -6.67037952e+08  7.05803550e+07  9.12375711e+00
 -6.12999327e+00  2.16281835e-01]","[-5.01462665e+08 -6.67567022e+08  7.05989824e+07  9.13353789e+00
 -6.11698809e+00  2.14906101e-01]","[-5.00673105e+08 -6.68094968e+08  7.06174908e+07  9.14330502e+00
 -6.10397031e+00  2.13529760e-01]","[-4.99882702e+08 -6.68621788e+08  7.06358803e+07  9.15305850e+00
 -6.09093991e+00  2.12152814e-01]","[-4.99091457e+08 -6.69147482e+08  7.06541508e+07  9.16279832e+00
 -6.07789690e+00  2.10775261e-01]","[-4.98299371e+08 -6.69672048e+08  7.06723022e+07  9.17252446e+00
 -6.06484129e+00  2.09397104e-01]","[-4.97506445e+08 -6.70195486e+08  7.06903346e+07  9.18223692e+00
 -6.05177307e+00  2.08018342e-01]","[-4.96712681e+08 -6.70717794e+08  7.07082478e+07  9.19193569e+00
 -6.03869224e+00  2.06638977e-01]","[-4.95918079e+08 -6.71238972e+08  7.07260418e+07  9.20162075e+00
 -6.02559882e+00  2.05259007e-01]","[-4.95122641e+08 -6.71759017e+08  7.07437165e+07  9.21129211e+00
 -6.01249279e+00  2.03878434e-01]","[-4.94326368e+08 -6.72277930e+08  7.07612720e+07  9.22094974e+00
 -5.99937416e+00  2.02497259e-01]","[-4.93529262e+08 -6.72795709e+08  7.07787080e+07  9.23059363e+00
 -5.98624294e+00  2.01115481e-01]","[-4.92731322e+08 -6.73312352e+08  7.07960247e+07  9.24022379e+00
 -5.97309913e+00  1.99733101e-01]","[-4.91932551e+08 -6.73827860e+08  7.08132219e+07  9.24984019e+00
 -5.95994272e+00  1.98350120e-01]","[-4.91132950e+08 -6.74342230e+08  7.08302996e+07  9.25944283e+00
 -5.94677372e+00  1.96966539e-01]","[-4.90332520e+08 -6.74855462e+08  7.08472577e+07  9.26903169e+00
 -5.93359213e+00  1.95582356e-01]","[-4.89531262e+08 -6.75367554e+08  7.08640962e+07  9.27860677e+00
 -5.92039795e+00  1.94197574e-01]","[-4.88729177e+08 -6.75878506e+08  7.08808150e+07  9.28816806e+00
 -5.90719119e+00  1.92812193e-01]","[-4.87926267e+08 -6.76388317e+08  7.08974141e+07  9.29771554e+00
 -5.89397184e+00  1.91426212e-01]","[-4.87122532e+08 -6.76896984e+08  7.09138935e+07  9.30724921e+00
 -5.88073991e+00  1.90039633e-01]","[-4.86317975e+08 -6.77404508e+08  7.09302530e+07  9.31676906e+00
 -5.86749540e+00  1.88652456e-01]","[-4.85512595e+08 -6.77910887e+08  7.09464926e+07  9.32627507e+00
 -5.85423832e+00  1.87264682e-01]","[-4.84706395e+08 -6.78416120e+08  7.09626123e+07  9.33576723e+00
 -5.84096865e+00  1.85876310e-01]","[-4.83899375e+08 -6.78920206e+08  7.09786120e+07  9.34524554e+00
 -5.82768642e+00  1.84487341e-01]","[-4.83091537e+08 -6.79423144e+08  7.09944917e+07  9.35470998e+00
 -5.81439160e+00  1.83097777e-01]","[-4.82282881e+08 -6.79924933e+08  7.10102513e+07  9.36416055e+00
 -5.80108422e+00  1.81707617e-01]","[-4.81473410e+08 -6.80425571e+08  7.10258907e+07  9.37359723e+00
 -5.78776426e+00  1.80316861e-01]","[-4.80663124e+08 -6.80925058e+08  7.10414100e+07  9.38302001e+00
 -5.77443174e+00  1.78925511e-01]","[-4.79852025e+08 -6.81423392e+08  7.10568090e+07  9.39242888e+00
 -5.76108665e+00  1.77533566e-01]","[-4.79040113e+08 -6.81920573e+08  7.10720878e+07  9.40182383e+00
 -5.74772900e+00  1.76141028e-01]","[-4.78227390e+08 -6.82416600e+08  7.10872462e+07  9.41120485e+00
 -5.73435878e+00  1.74747896e-01]"
P/1999 RO28 (LONEOS),"[-7.87053430e+08 -2.60146554e+08  9.57529540e+07  4.58337183e+00
 -6.17684881e+00  2.00364823e-01]","[-7.86656756e+08 -2.60680012e+08  9.57701838e+07  4.59890600e+00
 -6.17170770e+00  1.98474289e-01]","[-7.86258739e+08 -2.61213025e+08  9.57872503e+07  4.61444383e+00
 -6.16655225e+00  1.96582015e-01]","[-7.85859380e+08 -2.61745592e+08  9.58041531e+07  4.62998535e+00
 -6.16138243e+00  1.94687995e-01]","[-7.85458677e+08 -2.62277711e+08  9.58208923e+07  4.64553060e+00
 -6.15619820e+00  1.92792225e-01]","[-7.85056632e+08 -2.62809382e+08  9.58374676e+07  4.66107958e+00
 -6.15099954e+00  1.90894699e-01]","[-7.84653243e+08 -2.63340603e+08  9.58538788e+07  4.67663234e+00
 -6.14578642e+00  1.88995412e-01]","[-7.84248510e+08 -2.63871374e+08  9.58701259e+07  4.69218890e+00
 -6.14055881e+00  1.87094359e-01]","[-7.83842432e+08 -2.64401692e+08  9.58862087e+07  4.70774928e+00
 -6.13531669e+00  1.85191535e-01]","[-7.83435011e+08 -2.64931556e+08  9.59021270e+07  4.72331351e+00
 -6.13006001e+00  1.83286934e-01]","[-7.83026244e+08 -2.65460966e+08  9.59178806e+07  4.73888161e+00
 -6.12478877e+00  1.81380552e-01]","[-7.82616132e+08 -2.65989919e+08  9.59334695e+07  4.75445361e+00
 -6.11950291e+00  1.79472383e-01]","[-7.82204674e+08 -2.66518415e+08  9.59488934e+07  4.77002955e+00
 -6.11420242e+00  1.77562422e-01]","[-7.81791870e+08 -2.67046453e+08  9.59641522e+07  4.78560943e+00
 -6.10888727e+00  1.75650663e-01]","[-7.81377721e+08 -2.67574031e+08  9.59792458e+07  4.80119330e+00
 -6.10355742e+00  1.73737102e-01]","[-7.80962224e+08 -2.68101147e+08  9.59941739e+07  4.81678118e+00
 -6.09821285e+00  1.71821733e-01]","[-7.80545381e+08 -2.68627801e+08  9.60089365e+07  4.83237308e+00
 -6.09285352e+00  1.69904550e-01]","[-7.80127190e+08 -2.69153992e+08  9.60235334e+07  4.84796905e+00
 -6.08747941e+00  1.67985549e-01]","[-7.79707652e+08 -2.69679717e+08  9.60379644e+07  4.86356910e+00
 -6.08209048e+00  1.66064724e-01]","[-7.79286765e+08 -2.70204977e+08  9.60522293e+07  4.87917327e+00
 -6.07668671e+00  1.64142070e-01]","[-7.78864530e+08 -2.70729768e+08  9.60663281e+07  4.89478157e+00
 -6.07126806e+00  1.62217581e-01]","[-7.78440947e+08 -2.71254091e+08  9.60802605e+07  4.91039404e+00
 -6.06583451e+00  1.60291252e-01]","[-7.78016014e+08 -2.71777944e+08  9.60940264e+07  4.92601070e+00
 -6.06038601e+00  1.58363077e-01]","[-7.77589732e+08 -2.72301326e+08  9.61076256e+07  4.94163158e+00
 -6.05492254e+00  1.56433052e-01]","[-7.77162100e+08 -2.72824234e+08  9.61210579e+07  4.95725671e+00
 -6.04944408e+00  1.54501170e-01]","[-7.76733118e+08 -2.73346669e+08  9.61343233e+07  4.97288610e+00
 -6.04395058e+00  1.52567425e-01]","[-7.76302785e+08 -2.73868629e+08  9.61474215e+07  4.98851980e+00
 -6.03844201e+00  1.50631814e-01]","[-7.75871102e+08 -2.74390111e+08  9.61603524e+07  5.00415782e+00
 -6.03291835e+00  1.48694329e-01]","[-7.75438067e+08 -2.74911116e+08  9.61731159e+07  5.01980019e+00
 -6.02737956e+00  1.46754966e-01]","[-7.75003680e+08 -2.75431642e+08  9.61857116e+07  5.03544694e+00
 -6.02182561e+00  1.44813719e-01]","[-7.74567941e+08 -2.75951687e+08  9.61981396e+07  5.05109810e+00
 -6.01625647e+00  1.42870582e-01]"
P/1999 XN120 (Catalina),"[ 4.78154154e+08 -5.09778041e+08  2.87552960e+07  7.68598437e+00
  1.03578170e+01  8.92960227e-01]","[ 4.78817530e+08 -5.08882388e+08  2.88324061e+07  7.66994929e+00
  1.03748857e+01  8.91995283e-01]","[ 4.79479520e+08 -5.07985261e+08  2.89094327e+07  7.65387854e+00
  1.03919387e+01  8.91026946e-01]","[ 4.80140120e+08 -5.07086661e+08  2.89863754e+07  7.63777209e+00
  1.04089759e+01  8.90055211e-01]","[ 4.80799326e+08 -5.06186591e+08  2.90632341e+07  7.62162992e+00
  1.04259971e+01  8.89080075e-01]","[ 4.81457136e+08 -5.05285050e+08  2.91400084e+07  7.60545200e+00
  1.04430025e+01  8.88101534e-01]","[ 4.82113547e+08 -5.04382040e+08  2.92166980e+07  7.58923830e+00
  1.04599918e+01  8.87119584e-01]","[ 4.82768556e+08 -5.03477564e+08  2.92933025e+07  7.57298880e+00
  1.04769651e+01  8.86134222e-01]","[ 4.83422159e+08 -5.02571621e+08  2.93698219e+07  7.55670348e+00
  1.04939223e+01  8.85145444e-01]","[ 4.84074353e+08 -5.01664214e+08  2.94462556e+07  7.54038230e+00
  1.05108632e+01  8.84153246e-01]","[ 4.84725136e+08 -5.00755344e+08  2.95226034e+07  7.52402524e+00
  1.05277879e+01  8.83157625e-01]","[ 4.85374503e+08 -4.99845013e+08  2.95988651e+07  7.50763227e+00
  1.05446963e+01  8.82158577e-01]","[ 4.86022453e+08 -4.98933221e+08  2.96750403e+07  7.49120337e+00
  1.05615883e+01  8.81156097e-01]","[ 4.86668982e+08 -4.98019971e+08  2.97511288e+07  7.47473851e+00
  1.05784638e+01  8.80150184e-01]","[ 4.87314087e+08 -4.97105263e+08  2.98271302e+07  7.45823767e+00
  1.05953228e+01  8.79140832e-01]","[ 4.87957765e+08 -4.96189100e+08  2.99030442e+07  7.44170082e+00
  1.06121652e+01  8.78128039e-01]","[ 4.88600012e+08 -4.95271482e+08  2.99788706e+07  7.42512793e+00
  1.06289910e+01  8.77111800e-01]","[ 4.89240826e+08 -4.94352410e+08  3.00546091e+07  7.40851899e+00
  1.06458001e+01  8.76092111e-01]","[ 4.89880203e+08 -4.93431888e+08  3.01302592e+07  7.39187395e+00
  1.06625924e+01  8.75068970e-01]","[ 4.90518141e+08 -4.92509915e+08  3.02058209e+07  7.37519280e+00
  1.06793679e+01  8.74042371e-01]","[ 4.91154635e+08 -4.91586494e+08  3.02812937e+07  7.35847551e+00
  1.06961265e+01  8.73012313e-01]","[ 4.91789684e+08 -4.90661625e+08  3.03566773e+07  7.34172206e+00
  1.07128680e+01  8.71978790e-01]","[ 4.92423284e+08 -4.89735310e+08  3.04319715e+07  7.32493241e+00
  1.07295926e+01  8.70941799e-01]","[ 4.93055431e+08 -4.88807552e+08  3.05071759e+07  7.30810655e+00
  1.07463000e+01  8.69901336e-01]","[ 4.93686124e+08 -4.87878350e+08  3.05822903e+07  7.29124444e+00
  1.07629903e+01  8.68857398e-01]","[ 4.94315357e+08 -4.86947708e+08  3.06573144e+07  7.27434607e+00
  1.07796633e+01  8.67809980e-01]","[ 4.94943130e+08 -4.86015625e+08  3.07322478e+07  7.25741140e+00
  1.07963190e+01  8.66759080e-01]","[ 4.95569437e+08 -4.85082104e+08  3.08070903e+07  7.24044041e+00
  1.08129574e+01  8.65704693e-01]","[ 4.96194277e+08 -4.84147146e+08  3.08818415e+07  7.22343308e+00
  1.08295783e+01  8.64646816e-01]","[ 4.96817645e+08 -4.83210753e+08  3.09565011e+07  7.20638937e+00
  1.08461816e+01  8.63585444e-01]","[ 4.97439540e+08 -4.82272927e+08  3.10310689e+07  7.18930927e+00
  1.08627675e+01  8.62520575e-01]"
P/2000 R2 (LINEAR),"[-7.59569068e+08  1.54280668e+08  2.29428087e+07  3.08699679e-01
 -9.12165247e+00  1.75451634e+00]","[-7.59541589e+08  1.53492393e+08  2.30943745e+07  3.27386109e-01
 -9.12543836e+00  1.75395005e+00]","[-7.59512495e+08  1.52703793e+08  2.32458911e+07  3.46084813e-01
 -9.12920746e+00  1.75337962e+00]","[-7.59481785e+08  1.51914867e+08  2.33973583e+07  3.64795824e-01
 -9.13295976e+00  1.75280507e+00]","[-7.59449458e+08  1.51125618e+08  2.35487757e+07  3.83519177e-01
 -9.13669523e+00  1.75222638e+00]","[-7.59415513e+08  1.50336046e+08  2.37001429e+07  4.02254903e-01
 -9.14041387e+00  1.75164355e+00]","[-7.59379948e+08  1.49546155e+08  2.38514596e+07  4.21003037e-01
 -9.14411564e+00  1.75105657e+00]","[-7.59342763e+08  1.48755944e+08  2.40027254e+07  4.39763613e-01
 -9.14780052e+00  1.75046543e+00]","[-7.59303956e+08  1.47965415e+08  2.41539399e+07  4.58536665e-01
 -9.15146850e+00  1.74987013e+00]","[-7.59263527e+08  1.47174570e+08  2.43051028e+07  4.77322225e-01
 -9.15511955e+00  1.74927067e+00]","[-7.59221475e+08  1.46383411e+08  2.44562138e+07  4.96120329e-01
 -9.15875365e+00  1.74866702e+00]","[-7.59177798e+08  1.45591938e+08  2.46072724e+07  5.14931010e-01
 -9.16237079e+00  1.74805920e+00]","[-7.59132494e+08  1.44800154e+08  2.47582783e+07  5.33754303e-01
 -9.16597093e+00  1.74744719e+00]","[-7.59085564e+08  1.44008059e+08  2.49092311e+07  5.52590241e-01
 -9.16955406e+00  1.74683098e+00]","[-7.59037006e+08  1.43215655e+08  2.50601306e+07  5.71438859e-01
 -9.17312015e+00  1.74621058e+00]","[-7.58986819e+08  1.42422944e+08  2.52109762e+07  5.90300191e-01
 -9.17666919e+00  1.74558596e+00]","[-7.58935002e+08  1.41629927e+08  2.53617677e+07  6.09174271e-01
 -9.18020115e+00  1.74495713e+00]","[-7.58881554e+08  1.40836606e+08  2.55125047e+07  6.28061135e-01
 -9.18371600e+00  1.74432408e+00]","[-7.58826473e+08  1.40042982e+08  2.56631868e+07  6.46960817e-01
 -9.18721373e+00  1.74368680e+00]","[-7.58769759e+08  1.39249056e+08  2.58138136e+07  6.65873352e-01
 -9.19069432e+00  1.74304529e+00]","[-7.58711410e+08  1.38454830e+08  2.59643849e+07  6.84798774e-01
 -9.19415773e+00  1.74239953e+00]","[-7.58651425e+08  1.37660306e+08  2.61149001e+07  7.03737118e-01
 -9.19760394e+00  1.74174952e+00]","[-7.58589803e+08  1.36865485e+08  2.62653591e+07  7.22688420e-01
 -9.20103294e+00  1.74109526e+00]","[-7.58526544e+08  1.36070368e+08  2.64157613e+07  7.41652714e-01
 -9.20444470e+00  1.74043673e+00]","[-7.58461645e+08  1.35274957e+08  2.65661064e+07  7.60630036e-01
 -9.20783919e+00  1.73977394e+00]","[-7.58395107e+08  1.34479254e+08  2.67163941e+07  7.79620421e-01
 -9.21121640e+00  1.73910686e+00]","[-7.58326927e+08  1.33683260e+08  2.68666240e+07  7.98623903e-01
 -9.21457629e+00  1.73843550e+00]","[-7.58257104e+08  1.32886976e+08  2.70167956e+07  8.17640520e-01
 -9.21791884e+00  1.73775985e+00]","[-7.58185638e+08  1.32090404e+08  2.71669087e+07  8.36670306e-01
 -9.22124403e+00  1.73707990e+00]","[-7.58112527e+08  1.31293545e+08  2.73169629e+07  8.55713297e-01
 -9.22455184e+00  1.73639565e+00]","[-7.58037770e+08  1.30496402e+08  2.74669578e+07  8.74769528e-01
 -9.22784223e+00  1.73570708e+00]"
